1;Instructor de carrera administrativa;Instructor;
2;Instructor Planta temporal;Instructor;
3;Instructor provisional;Instructor;
4;Instructor contratista;Instructor;
5;Instructor contratista - virtual;Instructor;
6;Instructor contratista - Articulada;Instructor;
7;Instructor contratista - TSA;Instructor;
8;Instructor contratista - Desplazados;Instructor;
9;Administrativo de carrera administrativa;Administrativo;
10;Administrativo Planta temporal;Administrativo;
11;Administrativo contratista;Administrativo;
12;Administrativo contratista - competencias laborales;Administrativo;
13;Administrativo contratista - Laboratorio Metrologia;Administrativo;
14;Administrativo contratista - Tecnoparque;Administrativo;
15;Administrativo contratista - Articulada;Administrativo;
16;Administrativo contratista - Abogada;Administrativo;
17;Administrativo ENI  Escuela Nacional de Instructores;Administrativo;
18;Apoyo Sennova;Apoyo;
19;Apoyo Tecnoparque;Apoyo;
20;Apoyo Biblioteca;Apoyo;
21;Apoyo Bienestar al aprendiz;Apoyo
22;Apoyo Certificación laboral;Apoyo
23;Apoyo Subdirección. Onbase;Apoyo
24;Subdirector de Centro;Subdirector
25;Administrativo;Administrativo
