1;Instructor inglés 1;;
2;Instructor inglés 2;;Instructor Temporal
3;Instructor inglés 3;;Instructor Temporal
4;Instructor inglés 4;;Instructor Temporal
5;Instructor inglés virtual 1;;Instructor Temporal
6;Instructor inglés virtual 2;;Instructor Temporal
7;Instructor ética;;Instructor Temporal
8;Instructor comunicación 1;;Instructor Temporal
9;Instructor comunicación 2;;Instructor Temporal
10;Instructor Electricidad 1;;Instructor Temporal
11;Instructor Electricidad 2;;Instructor Temporal
12;Instructor Electricidad 3;;Instructor Temporal
13;Instructor Electricidad 4;;Instructor Temporal
14;Instructor Trabajo Seguro en alturas 1;;Instructor Temporal
15;Instructor Trabajo Seguro en alturas 2;;Instructor Temporal
16;Instructor Trabajo Seguro en alturas 3;;Instructor Temporal
17;Instructor Trabajo Seguro en alturas 4;;Instructor Temporal
18;Instructor Trabajo Seguro en alturas 5;;Instructor Temporal
19;Instructor Trabajo Seguro en alturas 6;;Instructor Temporal
20;Instructor Ambiental 1;;Instructor Temporal
21;Instructor Ambiental 2;;Instructor Temporal
22;Instructor Pedagogía virtual;;Instructor Temporal
23;Instructor Confección virtual;;Instructor Temporal
24;Instructor Confección desplazados;;Instructor Temporal
25;Instructor Confección 3;;Instructor Temporal
26;Instructor construcción 1;;Instructor Temporal
27;Instructor construcción 2;;Instructor Temporal
28;Instructor construcción  3;;Instructor Temporal
29;Instructor construcción  4;;Instructor Temporal
30;Instructor construcción 5;;Instructor Temporal
31;Instructor sistemas 1;;Instructor Temporal
32;Instructor sistemas 2;;Instructor Temporal
33;Instructor sistemas 3;;Instructor Temporal
34;Instructor sistemas 4;;Instructor Temporal
35;Instructor cultura física;;Instructor Temporal
36;Instructor diseño mecánico;;Instructor Temporal
37;Instructor Soldadura 1;;Instructor Temporal
38;Instructor Soldadura 2;;Instructor Temporal
39;Instructor mantenimiento de máquinas de confección;;Instructor Temporal
40;Instructor mecánica automotriz;;Instructor Temporal
41;Instructor maderas 1;;Instructor Temporal
42;Instructor maderas 2;;Instructor Temporal
43;Instructor motocicletas 1;;Instructor Temporal
44;Instructor motocicletas 2;;Instructor Temporal
45;Instructor Seguridad ocupacional 1;;Instructor Temporal
46;Instructor Seguridad ocupacional 2;;Instructor Temporal
47;Instructor Seguridad ocupacional 3;;Instructor Temporal
48;Instructor música 1;;Instructor Temporal
49;Instructor música 2;;Instructor Temporal
50;Instructor música 3;;Instructor Temporal
51;Instructor música 4;;Instructor Temporal
52;Instructor música 5;;Instructor Temporal
53;Instructor contabilidad virtual;;Instructor Temporal
54;Intructor joyería;;Instructor Temporal
55;Instructor Sistemas integrados 1;;Instructor Temporal
56;Instructor Sistemas integrados 2;;Instructor Temporal
57;Instructor Cultura de paz;;Instructor Temporal
58;Instructor Calidad;;Instructor Temporal
59;Instructor Topografía;;Instructor Temporal
